staging_inventory_id,source_filename,topic_family,script_role,permanent_document_id_status,lineage_preserved,management_action
tbt-05-04-metal-decking-and-controlled-access-zones,tbt-05-04-metal-decking-and-controlled-access-zones-v1-0-draft.docx,GENERAL_FIELD_SAFETY,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-06-01-rough-carpentry-and-pneumatic-tools,tbt-06-01-rough-carpentry-and-pneumatic-tools-v1-0-draft.docx,TOOLS_EQUIPMENT,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-06-02-wood-truss-installation-and-bracing,tbt-06-02-wood-truss-installation-and-bracing-v1-0-draft.docx,GENERAL_FIELD_SAFETY,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-07-01-leading-edge-work-and-barricades,tbt-07-01-leading-edge-work-and-barricades-v1-0-draft.docx,GENERAL_FIELD_SAFETY,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-07-02-roofing-hot-asphalt-and-kettle-safety,tbt-07-02-roofing-hot-asphalt-and-kettle-safety-v1-0-draft.docx,FALL_PROTECTION,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-07-03-waterproofing-solvents-and-confined-vapors,tbt-07-03-waterproofing-solvents-and-confined-vapors-v1-0-draft.docx,FALL_PROTECTION,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-08-01-ladder-safety-and-three-point-contact,tbt-08-01-ladder-safety-and-three-point-contact-v1-0-draft.docx,LADDERS_SCAFFOLDS,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-08-02-heavy-door-and-frame-installation,tbt-08-02-heavy-door-and-frame-installation-v1-0-draft.docx,GENERAL_FIELD_SAFETY,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-09-01-powder-actuated-tools-ramset,tbt-09-01-powder-actuated-tools-ramset-v1-0-draft.docx,TOOLS_EQUIPMENT,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-09-02-drywall-dust-and-stilts-safety,tbt-09-02-drywall-dust-and-stilts-safety-v1-0-draft.docx,GENERAL_FIELD_SAFETY,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-09-03-painting-scaffolds-and-chemical-storage,tbt-09-03-painting-scaffolds-and-chemical-storage-v1-0-draft.docx,LADDERS_SCAFFOLDS,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-10-01-installation-of-heavy-specialties-lockers-partitions,tbt-10-01-installation-of-heavy-specialties-lockers-partitions-v1-0-draft.docx,GENERAL_FIELD_SAFETY,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-10-02-signage-and-wayfinding-installation-heights,tbt-10-02-signage-and-wayfinding-installation-heights-v1-0-draft.docx,GENERAL_FIELD_SAFETY,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-11-01-ariel-lifts-mewp-and-fall-restraint,tbt-11-01-ariel-lifts-mewp-and-fall-restraint-v1-0-draft.docx,FALL_PROTECTION,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-11-02-equipment-mobilization-and-site-setup,tbt-11-02-equipment-mobilization-and-site-setup-v1-0-draft.docx,TOOLS_EQUIPMENT,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-11-03-heavy-equipment-blind-spots,tbt-11-03-heavy-equipment-blind-spots-v1-0-draft.docx,TOOLS_EQUIPMENT,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-11-04-warehouse-forklift-operations,tbt-11-04-warehouse-forklift-operations-v1-0-draft.docx,TOOLS_EQUIPMENT,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-11-05-manual-material-handling-and-ergonomics,tbt-11-05-manual-material-handling-and-ergonomics-v1-0-draft.docx,ERGONOMICS_MATERIAL_HANDLING,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-11-06-commercial-kitchen-equipment-rigging,tbt-11-06-commercial-kitchen-equipment-rigging-v1-0-draft.docx,TOOLS_EQUIPMENT,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-12-01-casework-and-cabinetry-installation,tbt-12-01-casework-and-cabinetry-installation-v1-0-draft.docx,GENERAL_FIELD_SAFETY,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-13-01-pre-engineered-metal-buildings-pemb,tbt-13-01-pre-engineered-metal-buildings-pemb-v1-0-draft.docx,GENERAL_FIELD_SAFETY,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-14-01-crane-operations-and-critical-lifts,tbt-14-01-crane-operations-and-critical-lifts-v1-0-draft.docx,GENERAL_FIELD_SAFETY,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-14-02-elevator-shaft-fall-protection,tbt-14-02-elevator-shaft-fall-protection-v1-0-draft.docx,FALL_PROTECTION,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-21-01-sprinkler-pipe-fitting-and-overhead-work,tbt-21-01-sprinkler-pipe-fitting-and-overhead-work-v1-0-draft.docx,GENERAL_FIELD_SAFETY,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-21-02-fire-pump-installation-and-hydrostatic-testing,tbt-21-02-fire-pump-installation-and-hydrostatic-testing-v1-0-draft.docx,FIRE_HOT_WORK,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-22-01-confined-space-entry,tbt-22-01-confined-space-entry-v1-0-draft.docx,GENERAL_FIELD_SAFETY,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-22-02-pipe-testing-and-pressurization,tbt-22-02-pipe-testing-and-pressurization-v1-0-draft.docx,GENERAL_FIELD_SAFETY,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-22-03-soldering-and-brazing-fire-watch,tbt-22-03-soldering-and-brazing-fire-watch-v1-0-draft.docx,FIRE_HOT_WORK,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-22-04-cast-iron-pipe-cutting-and-snapping,tbt-22-04-cast-iron-pipe-cutting-and-snapping-v1-0-draft.docx,GENERAL_FIELD_SAFETY,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-23-01-hvac-rigging-and-roof-installations,tbt-23-01-hvac-rigging-and-roof-installations-v1-0-draft.docx,FALL_PROTECTION,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-23-02-ductwork-hoisting-and-overhead-assembly,tbt-23-02-ductwork-hoisting-and-overhead-assembly-v1-0-draft.docx,GENERAL_FIELD_SAFETY,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-23-03-refrigerant-handling-and-brazing,tbt-23-03-refrigerant-handling-and-brazing-v1-0-draft.docx,GENERAL_FIELD_SAFETY,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-25-01-control-panel-installation-and-low-voltage,tbt-25-01-control-panel-installation-and-low-voltage-v1-0-draft.docx,GENERAL_FIELD_SAFETY,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-26-01-electrical-safety-and-loto,tbt-26-01-electrical-safety-and-loto-v1-0-draft.docx,ELECTRICAL,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-26-02-arc-flash-and-energized-work,tbt-26-02-arc-flash-and-energized-work-v1-0-draft.docx,GENERAL_FIELD_SAFETY,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-26-03-temporary-lighting-and-gfci-protection,tbt-26-03-temporary-lighting-and-gfci-protection-v1-0-draft.docx,GENERAL_FIELD_SAFETY,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-26-04-underground-conduit-and-duct-banks,tbt-26-04-underground-conduit-and-duct-banks-v1-0-draft.docx,GENERAL_FIELD_SAFETY,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-26-05-switchgear-installation-and-phasing,tbt-26-05-switchgear-installation-and-phasing-v1-0-draft.docx,GENERAL_FIELD_SAFETY,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-27-01-cable-tray-and-data-line-pulling,tbt-27-01-cable-tray-and-data-line-pulling-v1-0-draft.docx,GENERAL_FIELD_SAFETY,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-28-01-fire-alarm-and-security-system-rough-in,tbt-28-01-fire-alarm-and-security-system-rough-in-v1-0-draft.docx,FIRE_HOT_WORK,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-28-02-access-control-and-mag-lock-wiring,tbt-28-02-access-control-and-mag-lock-wiring-v1-0-draft.docx,GENERAL_FIELD_SAFETY,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-31-01-trenching-and-excavation,tbt-31-01-trenching-and-excavation-v1-0-draft.docx,CONSTRUCTION_OPERATIONS,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-31-02-underground-utility-strikes-and-locates,tbt-31-02-underground-utility-strikes-and-locates-v1-0-draft.docx,CONSTRUCTION_OPERATIONS,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-31-03-rigging-and-hoisting-with-excavators,tbt-31-03-rigging-and-hoisting-with-excavators-v1-0-draft.docx,GENERAL_FIELD_SAFETY,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-31-04-traffic-control-and-flagger-safety,tbt-31-04-traffic-control-and-flagger-safety-v1-0-draft.docx,GENERAL_FIELD_SAFETY,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-31-05-dewatering-and-pump-operations,tbt-31-05-dewatering-and-pump-operations-v1-0-draft.docx,GENERAL_FIELD_SAFETY,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-31-06-heavy-equipment-loading-and-tie-down,tbt-31-06-heavy-equipment-loading-and-tie-down-v1-0-draft.docx,TOOLS_EQUIPMENT,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-31-07-soil-compaction-and-roller-safety,tbt-31-07-soil-compaction-and-roller-safety-v1-0-draft.docx,GENERAL_FIELD_SAFETY,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-31-08-contaminated-soil-and-groundwater,tbt-31-08-contaminated-soil-and-groundwater-v1-0-draft.docx,GENERAL_FIELD_SAFETY,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-32-01-paving-asphalt-and-flatwork,tbt-32-01-paving-asphalt-and-flatwork-v1-0-draft.docx,GENERAL_FIELD_SAFETY,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-32-02-landscaping-equipment-and-chipper-safety,tbt-32-02-landscaping-equipment-and-chipper-safety-v1-0-draft.docx,TOOLS_EQUIPMENT,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-33-01-deep-sewer-and-water-main-trenching,tbt-33-01-deep-sewer-and-water-main-trenching-v1-0-draft.docx,CONSTRUCTION_OPERATIONS,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-33-02-manhole-installation-and-confined-space,tbt-33-02-manhole-installation-and-confined-space-v1-0-draft.docx,FALL_PROTECTION,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-source-001-fall-causes,tbt-source-001-fall-causes-v3-0-draft.docx,FALL_PROTECTION,ALTERNATE_SCRIPT_CANDIDATE,NOT_LOCKED,YES,Topic-family review before permanent numbering
tbt-source-002-slips-and-trips,tbt-source-002-slips-and-trips-v3-0-draft.docx,GENERAL_FIELD_SAFETY,ALTERNATE_SCRIPT_CANDIDATE,NOT_LOCKED,YES,Topic-family review before permanent numbering
tbt-source-003-stairways-aisles-and-walkways,tbt-source-003-stairways-aisles-and-walkways-v3-0-draft.docx,LADDERS_SCAFFOLDS,ALTERNATE_SCRIPT_CANDIDATE,NOT_LOCKED,YES,Topic-family review before permanent numbering
tbt-source-004-guardrails,tbt-source-004-guardrails-v3-0-draft.docx,FALL_PROTECTION,ALTERNATE_SCRIPT_CANDIDATE,NOT_LOCKED,YES,Topic-family review before permanent numbering
tbt-source-005-fall-protection,tbt-source-005-fall-protection-v3-0-draft.docx,FALL_PROTECTION,ALTERNATE_SCRIPT_CANDIDATE,NOT_LOCKED,YES,Topic-family review before permanent numbering
tbt-source-006-personal-fall-arrest-systems,tbt-source-006-personal-fall-arrest-systems-v3-0-draft.docx,FALL_PROTECTION,ALTERNATE_SCRIPT_CANDIDATE,NOT_LOCKED,YES,Topic-family review before permanent numbering
tbt-source-007-holes-and-floor-openings,tbt-source-007-holes-and-floor-openings-v3-0-draft.docx,FALL_PROTECTION,ALTERNATE_SCRIPT_CANDIDATE,NOT_LOCKED,YES,Topic-family review before permanent numbering
tbt-source-008-ladders,tbt-source-008-ladders-v3-0-draft.docx,LADDERS_SCAFFOLDS,ALTERNATE_SCRIPT_CANDIDATE,NOT_LOCKED,YES,Topic-family review before permanent numbering
tbt-source-009-ladder-safety,tbt-source-009-ladder-safety-v3-0-draft.docx,LADDERS_SCAFFOLDS,ALTERNATE_SCRIPT_CANDIDATE,NOT_LOCKED,YES,Topic-family review before permanent numbering
tbt-source-010-step-up-to-safety,tbt-source-010-step-up-to-safety-v3-0-draft.docx,GENERAL_FIELD_SAFETY,ALTERNATE_SCRIPT_CANDIDATE,NOT_LOCKED,YES,Topic-family review before permanent numbering
tbt-source-011-use-and-erection-of-ladders,tbt-source-011-use-and-erection-of-ladders-v3-0-draft.docx,LADDERS_SCAFFOLDS,ALTERNATE_SCRIPT_CANDIDATE,NOT_LOCKED,YES,Topic-family review before permanent numbering
tbt-source-012-scaffolding-i,tbt-source-012-scaffolding-i-v3-0-draft.docx,LADDERS_SCAFFOLDS,ALTERNATE_SCRIPT_CANDIDATE,NOT_LOCKED,YES,Topic-family review before permanent numbering
tbt-source-013-scaffolding-ii,tbt-source-013-scaffolding-ii-v3-0-draft.docx,LADDERS_SCAFFOLDS,ALTERNATE_SCRIPT_CANDIDATE,NOT_LOCKED,YES,Topic-family review before permanent numbering
tbt-source-014-scaffolds,tbt-source-014-scaffolds-v3-0-draft.docx,LADDERS_SCAFFOLDS,ALTERNATE_SCRIPT_CANDIDATE,NOT_LOCKED,YES,Topic-family review before permanent numbering
tbt-source-015-safe-scaffolding,tbt-source-015-safe-scaffolding-v3-0-draft.docx,LADDERS_SCAFFOLDS,ALTERNATE_SCRIPT_CANDIDATE,NOT_LOCKED,YES,Topic-family review before permanent numbering
tbt-source-016-scaffolds-permanent-safety-on-temporary-structures,tbt-source-016-scaffolds-permanent-safety-on-temporary-structures-v3-0-draft.docx,LADDERS_SCAFFOLDS,ALTERNATE_SCRIPT_CANDIDATE,NOT_LOCKED,YES,Topic-family review before permanent numbering
tbt-source-017-aerial-lifts-and-elevated-platforms,tbt-source-017-aerial-lifts-and-elevated-platforms-v3-0-draft.docx,GENERAL_FIELD_SAFETY,ALTERNATE_SCRIPT_CANDIDATE,NOT_LOCKED,YES,Topic-family review before permanent numbering
tbt-source-018-preventing-deadly-falls,tbt-source-018-preventing-deadly-falls-v3-0-draft.docx,FALL_PROTECTION,ALTERNATE_SCRIPT_CANDIDATE,NOT_LOCKED,YES,Topic-family review before permanent numbering
tbt-source-019-slips-and-spills,tbt-source-019-slips-and-spills-v3-0-draft.docx,GENERAL_FIELD_SAFETY,ALTERNATE_SCRIPT_CANDIDATE,NOT_LOCKED,YES,Topic-family review before permanent numbering
tbt-source-020-fall-protection-systems,tbt-source-020-fall-protection-systems-v3-0-draft.docx,FALL_PROTECTION,ALTERNATE_SCRIPT_CANDIDATE,NOT_LOCKED,YES,Topic-family review before permanent numbering
tbt-source-021-pneumatic-tools,tbt-source-021-pneumatic-tools-v3-0-draft.docx,TOOLS_EQUIPMENT,ALTERNATE_SCRIPT_CANDIDATE,NOT_LOCKED,YES,Topic-family review before permanent numbering
tbt-source-022-power-tools,tbt-source-022-power-tools-v3-0-draft.docx,TOOLS_EQUIPMENT,ALTERNATE_SCRIPT_CANDIDATE,NOT_LOCKED,YES,Topic-family review before permanent numbering
tbt-source-023-power-saws,tbt-source-023-power-saws-v3-0-draft.docx,TOOLS_EQUIPMENT,ALTERNATE_SCRIPT_CANDIDATE,NOT_LOCKED,YES,Topic-family review before permanent numbering
tbt-source-024-the-power-of-safety,tbt-source-024-the-power-of-safety-v3-0-draft.docx,GENERAL_FIELD_SAFETY,ALTERNATE_SCRIPT_CANDIDATE,NOT_LOCKED,YES,Topic-family review before permanent numbering
tbt-source-025-powder-actuated-tools,tbt-source-025-powder-actuated-tools-v3-0-draft.docx,TOOLS_EQUIPMENT,ALTERNATE_SCRIPT_CANDIDATE,NOT_LOCKED,YES,Topic-family review before permanent numbering
tbt-source-026-chainsaw-safety,tbt-source-026-chainsaw-safety-v3-0-draft.docx,TOOLS_EQUIPMENT,ALTERNATE_SCRIPT_CANDIDATE,NOT_LOCKED,YES,Topic-family review before permanent numbering
tbt-source-027-working-safely-with-lasers,tbt-source-027-working-safely-with-lasers-v3-0-draft.docx,ELECTRICAL,ALTERNATE_SCRIPT_CANDIDATE,NOT_LOCKED,YES,Topic-family review before permanent numbering
tbt-source-028-laser-safety,tbt-source-028-laser-safety-v3-0-draft.docx,ELECTRICAL,ALTERNATE_SCRIPT_CANDIDATE,NOT_LOCKED,YES,Topic-family review before permanent numbering
tbt-source-029-tools,tbt-source-029-tools-v3-0-draft.docx,TOOLS_EQUIPMENT,ALTERNATE_SCRIPT_CANDIDATE,NOT_LOCKED,YES,Topic-family review before permanent numbering
tbt-source-030-torches,tbt-source-030-torches-v3-0-draft.docx,FIRE_HOT_WORK,ALTERNATE_SCRIPT_CANDIDATE,NOT_LOCKED,YES,Topic-family review before permanent numbering
tbt-source-031-hand-tools,tbt-source-031-hand-tools-v3-0-draft.docx,TOOLS_EQUIPMENT,ALTERNATE_SCRIPT_CANDIDATE,NOT_LOCKED,YES,Topic-family review before permanent numbering
tbt-source-032-care-of-hand-tools,tbt-source-032-care-of-hand-tools-v3-0-draft.docx,TOOLS_EQUIPMENT,ALTERNATE_SCRIPT_CANDIDATE,NOT_LOCKED,YES,Topic-family review before permanent numbering
tbt-source-033-chisels-screwdrivers-and-sharp-points,tbt-source-033-chisels-screwdrivers-and-sharp-points-v3-0-draft.docx,TOOLS_EQUIPMENT,ALTERNATE_SCRIPT_CANDIDATE,NOT_LOCKED,YES,Topic-family review before permanent numbering
tbt-source-034-hammers-and-other-impact-tools,tbt-source-034-hammers-and-other-impact-tools-v3-0-draft.docx,TOOLS_EQUIPMENT,ALTERNATE_SCRIPT_CANDIDATE,NOT_LOCKED,YES,Topic-family review before permanent numbering
tbt-source-035-adjusting-and-changing-tool-accessories,tbt-source-035-adjusting-and-changing-tool-accessories-v3-0-draft.docx,TOOLS_EQUIPMENT,ALTERNATE_SCRIPT_CANDIDATE,NOT_LOCKED,YES,Topic-family review before permanent numbering
tbt-source-036-handling-sharp-tools-and-other-objects,tbt-source-036-handling-sharp-tools-and-other-objects-v3-0-draft.docx,TOOLS_EQUIPMENT,ALTERNATE_SCRIPT_CANDIDATE,NOT_LOCKED,YES,Topic-family review before permanent numbering
tbt-source-037-hand-tools-and-power-tools,tbt-source-037-hand-tools-and-power-tools-v3-0-draft.docx,TOOLS_EQUIPMENT,ALTERNATE_SCRIPT_CANDIDATE,NOT_LOCKED,YES,Topic-family review before permanent numbering
tbt-source-038-fire-prevention,tbt-source-038-fire-prevention-v3-0-draft.docx,FIRE_HOT_WORK,ALTERNATE_SCRIPT_CANDIDATE,NOT_LOCKED,YES,Topic-family review before permanent numbering
