decision,approved_rule,phase,implementation_status,primary_existing_control,verification_gate,governance_rule_status,operational_detail_status
11,Use a machine-generated immutable UUID as the Enterprise UID. Keep the human-readable Document ID separate.,1,IMPLEMENTED_PHASE_1,Governance Standard / RACI / Master Index / schema / metadata,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,NOT_REQUIRED_FOR_PHASE_1_BASELINE
12,"External manufacturer SDS files do not require MH Enterprise UIDs unless an internal system requires a registry key. Manufacturer, exact product, revision, and hash remain the external identity. Any internal UUID identifies MHC's registry record, not the external SDS itself.",1,IMPLEMENTED_PHASE_1,Governance Standard / RACI / Master Index / schema / metadata,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,NOT_REQUIRED_FOR_PHASE_1_BASELINE
13,Assign one accountable package-owner position per package based on subject-matter authority. Executive positions govern enterprise doctrine; functional leaders own operating packages. The CEO is not the default owner of every package.,1,IMPLEMENTED_PHASE_1,Governance Standard / RACI / Master Index / schema / metadata,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,NOT_REQUIRED_FOR_PHASE_1_BASELINE
14,"Track `Document Owner` separately from `Records Custodian` whenever responsibilities differ. The owner controls content; the custodian controls storage, retention, retrieval, and disposition.",1,IMPLEMENTED_PHASE_1,Governance Standard / RACI / Master Index / schema / metadata,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,NOT_REQUIRED_FOR_PHASE_1_BASELINE
15,"Replace vague operational `NOT_APPLICABLE` values with `NOT_RELEASED`, `ACTIVE`, `HOLD`, and `RETIRED`. Use `CONDITIONAL` only under an explicitly defined conditional-use rule.",1,IMPLEMENTED_PHASE_1,Governance Standard / RACI / Master Index / schema / metadata,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,NOT_REQUIRED_FOR_PHASE_1_BASELINE
16,"Track document revision date, effective date, and package/build date separately. Page-level dates normally derive from the document revision date unless a specific requirement demands otherwise.",1,IMPLEMENTED_PHASE_1,Governance Standard / RACI / Master Index / schema / metadata,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,NOT_REQUIRED_FOR_PHASE_1_BASELINE
17,Forms advance independently when form content changes without changing governing policy. Revise the governing document only when its controlling requirements change.,1,IMPLEMENTED_PHASE_1,Governance Standard / RACI / Master Index / schema / metadata,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,NOT_REQUIRED_FOR_PHASE_1_BASELINE
18,"Do not use one universal next-man-up sequence. Establish department-specific acting-successor matrices with competency restrictions. Executive continuity may follow CEO to COO, but safety, fleet, HR, finance, and technical authority require qualified acting roles.",2+,IMPLEMENTED_GOVERNANCE_RULE_PHASE_1 | OPERATIONAL_DETAIL_PENDING_PHASE_2,Governance Standard / Operations RACI; detailed functional procedure remains Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,PENDING_PHASE_2
19,"The Chief Superintendent may direct daily fleet deployment under delegated authority. The Acting Fleet Commander retains vehicle/equipment release, maintenance, registration, and asset-record authority.",2+,IMPLEMENTED_GOVERNANCE_RULE_PHASE_1 | OPERATIONAL_DETAIL_PENDING_PHASE_2,Governance Standard / Operations RACI; detailed functional procedure remains Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,PENDING_PHASE_2
20,Fleet controls mechanical readiness and release. The Chief Superintendent controls operational assignment and deployment after release. Neither position may override a safety lockout.,2+,IMPLEMENTED_GOVERNANCE_RULE_PHASE_1 | OPERATIONAL_DETAIL_PENDING_PHASE_2,Governance Standard / Operations RACI; detailed functional procedure remains Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,PENDING_PHASE_2
21,"Every employee has authority to stop imminent unsafe work. Restart authority belongs to the competent operational and safety chain after the hazard is corrected, controls are verified, and affected personnel are informed.",2+,IMPLEMENTED_GOVERNANCE_RULE_PHASE_1 | OPERATIONAL_DETAIL_PENDING_PHASE_2,Governance Standard / Operations RACI; detailed functional procedure remains Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,PENDING_PHASE_2
22,"A qualified, designated acting safety authority is required when the dedicated safety position is vacant. CHENG and COO may retain executive accountability, but technical safety authority requires documented competency.",2+,IMPLEMENTED_GOVERNANCE_RULE_PHASE_1 | OPERATIONAL_DETAIL_PENDING_PHASE_2,Governance Standard / Operations RACI; detailed functional procedure remains Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,PENDING_PHASE_2
23,"Designate the Acting Warehouse Manager in writing. The same individual should not receive, issue, inventory, and reconcile high-value or controlled assets without secondary verification.",2+,IMPLEMENTED_GOVERNANCE_RULE_PHASE_1 | OPERATIONAL_DETAIL_PENDING_PHASE_2,Governance Standard / Operations RACI; detailed functional procedure remains Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,PENDING_PHASE_2
24,"Written acting designation is mandatory for safety authority, financial approval, HR/confidential records, fleet mechanical release, regulated work, cybersecurity administration, and positions requiring competency or licensing.",2+,IMPLEMENTED_GOVERNANCE_RULE_PHASE_1 | OPERATIONAL_DETAIL_PENDING_PHASE_2,Governance Standard / Operations RACI; detailed functional procedure remains Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,PENDING_PHASE_2
25,"The Chief Superintendent receives defined purchasing thresholds and emergency-request authority, not unlimited purchasing authority. Higher-value commitments remain in the financial and COO approval chain.",2+,IMPLEMENTED_GOVERNANCE_RULE_PHASE_1 | OPERATIONAL_DETAIL_PENDING_PHASE_2,Governance Standard / Operations RACI; detailed functional procedure remains Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,PENDING_PHASE_2
26,Release a Washington-base Employee Handbook first while Washington is the active workforce jurisdiction. Complete Oregon and Idaho supplements before employing workers governed by those jurisdictions.,2+,APPROVED_PENDING_OPERATIONAL_CONTENT_PHASE,Existing functional document(s) mapped in Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",APPROVED_PENDING_PHASE_2,PENDING_PHASE_2
27,"Obtain final Washington, Oregon, Idaho, and federal review from qualified employment or HR compliance counsel before activation.",2+,APPROVED_PENDING_OPERATIONAL_CONTENT_PHASE,Existing functional document(s) mapped in Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",APPROVED_PENDING_PHASE_2,PENDING_PHASE_2
28,"Establish a normal PIP framework without imposing one mandatory duration on every case. Provide 30-, 60-, and 90-day operating windows, with HR and management selecting the duration based on severity and the improvement required.",2+,APPROVED_PENDING_OPERATIONAL_CONTENT_PHASE,Existing functional document(s) mapped in Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",APPROVED_PENDING_PHASE_2,PENDING_PHASE_2
29,"Treat union, collective-bargaining agreement, and project-labor agreement applicability as project and workforce attributes. Support union and non-union conditions without declaring either one universal.",2+,APPROVED_PENDING_OPERATIONAL_CONTENT_PHASE,Existing functional document(s) mapped in Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",APPROVED_PENDING_PHASE_2,PENDING_PHASE_2
30,"Define only the worker classifications MHC actually uses. Keep the schema capable of exempt, non-exempt, temporary, seasonal, intern, apprentice, and contractor categories. Independent contractor is not an employee classification.",2+,APPROVED_PENDING_OPERATIONAL_CONTENT_PHASE,Existing functional document(s) mapped in Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",APPROVED_PENDING_PHASE_2,PENDING_PHASE_2
31,Control PTO through an approved compensation and leave schedule with state-specific overlays. Do not bury variable statutory or compensation rules in generic handbook prose.,2+,APPROVED_PENDING_OPERATIONAL_CONTENT_PHASE,Existing functional document(s) mapped in Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",APPROVED_PENDING_PHASE_2,PENDING_PHASE_2
32,"Establish a core drug-and-alcohol policy with controlled overlays for DOT/CDL, federal work, reasonable suspicion, post-incident testing, and jurisdiction-specific cannabis requirements.",2+,APPROVED_PENDING_OPERATIONAL_CONTENT_PHASE,Existing functional document(s) mapped in Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",APPROVED_PENDING_PHASE_2,PENDING_PHASE_2
33,Place confidential accommodation documentation under HR or an expressly designated confidential HR authority. Do not store those records in field or project systems.,2+,APPROVED_PENDING_OPERATIONAL_CONTENT_PHASE,Existing functional document(s) mapped in Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",APPROVED_PENDING_PHASE_2,PENDING_PHASE_2
34,"Exclude HR, medical/accommodation, payroll-sensitive, disciplinary, and similar restricted records from general Field Command Center and R2 publication paths unless the destination is specifically secured and authorized.",2+,APPROVED_PENDING_OPERATIONAL_CONTENT_PHASE,Existing functional document(s) mapped in Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",APPROVED_PENDING_PHASE_2,PENDING_PHASE_2
35,"Implement Davis-Bacon, certified payroll, E-Verify, BABA/Buy America, prevailing-wage, and similar requirements as project-triggered compliance modules. Activate them only when the contract, jurisdiction, or funding source requires them.",2+,APPROVED_PENDING_OPERATIONAL_CONTENT_PHASE,Existing functional document(s) mapped in Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",APPROVED_PENDING_PHASE_2,PENDING_PHASE_2
36,The Project Manager owns project-specific tailoring. CHENG or the applicable technical authority reviews technical requirements. COO approves material enterprise or commercial departures. Software projects may use CHNAV as the technical authority where appropriate.,2+,APPROVED_PENDING_OPERATIONAL_CONTENT_PHASE,Existing functional document(s) mapped in Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",APPROVED_PENDING_PHASE_2,PENDING_PHASE_2
37,"Establish a minimum project-control set scaled by project risk. Every project requires document control, required inspection and quality evidence, deficiency/punch control, and closeout. Specialized testing, CAPA, and commissioning apply when the scope, contract, or risk requires them.",2+,APPROVED_PENDING_OPERATIONAL_CONTENT_PHASE,Existing functional document(s) mapped in Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",APPROVED_PENDING_PHASE_2,PENDING_PHASE_2
38,"Require independent corrective-action verification when an issue is material, safety-related, regulatory, contractual, recurring, or otherwise high risk. Minor administrative corrections may use proportionate verification.",2+,APPROVED_PENDING_OPERATIONAL_CONTENT_PHASE,Existing functional document(s) mapped in Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",APPROVED_PENDING_PHASE_2,PENDING_PHASE_2
39,Establish a written delegation-of-authority matrix based on dollar value and risk. Dollar value alone does not control because a low-dollar contractual concession may create greater exposure than a higher-value routine purchase.,2+,APPROVED_PENDING_OPERATIONAL_CONTENT_PHASE,Existing functional document(s) mapped in Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",APPROVED_PENDING_PHASE_2,PENDING_PHASE_2
40,"Assign one accountable subcontractor-prequalification owner, with Operations or Preconstruction selected according to the operating structure. Mandatory gates include licensing, insurance, safety, financial capacity, performance, and cybersecurity when system or data access is involved.",2+,APPROVED_PENDING_OPERATIONAL_CONTENT_PHASE,Existing functional document(s) mapped in Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",APPROVED_PENDING_PHASE_2,PENDING_PHASE_2
41,"Use one canonical project number across estimating, contracts, accounting, Procore, internal systems, server folders, and closeout. Individual systems may add prefixes, but the canonical project identifier must remain intact.",2+,APPROVED_PENDING_OPERATIONAL_CONTENT_PHASE,Existing functional document(s) mapped in Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",APPROVED_PENDING_PHASE_2,PENDING_PHASE_2
42,"The Project Manager owns closeout execution. A designated Operations or executive authority accepts final closeout. Archive is blocked until required warranties, as-builts, O&M data, releases, training, and financial reconciliation are complete or formally excepted.",2+,APPROVED_PENDING_OPERATIONAL_CONTENT_PHASE,Existing functional document(s) mapped in Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",APPROVED_PENDING_PHASE_2,PENDING_PHASE_2
43,"Define warranty response by severity. Emergency/safety, operations-impacting, and routine warranty tiers require different response and escalation expectations.",2+,APPROVED_PENDING_OPERATIONAL_CONTENT_PHASE,Existing functional document(s) mapped in Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",APPROVED_PENDING_PHASE_2,PENDING_PHASE_2
44,The assigned or Acting Warehouse Manager leads the initial physical chemical inventory with Safety participation. Management must approve a completion date so SDS acquisition does not remain open-ended.,2+,APPROVED_PENDING_OPERATIONAL_CONTENT_PHASE,Existing functional document(s) mapped in Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",APPROVED_PENDING_PHASE_2,PENDING_PHASE_2
45,"Barcode the product or SKU identity and track quantity separately. Individually serialize containers only when value, regulation, lot/expiration, or hazardous-material traceability requires it.",2+,APPROVED_PENDING_OPERATIONAL_CONTENT_PHASE,Existing functional document(s) mapped in Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",APPROVED_PENDING_PHASE_2,PENDING_PHASE_2
46,"Capture manufacturer, exact product, SKU/UPC, container size, lot when applicable, expiration when applicable, location, quantity, and a label photograph. Do not require fields the product does not provide.",2+,APPROVED_PENDING_OPERATIONAL_CONTENT_PHASE,Existing functional document(s) mapped in Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",APPROVED_PENDING_PHASE_2,PENDING_PHASE_2
47,"Determine stocked oils, fluids, coolants, greases, cleaners, solvents, and additives through physical inventory. Do not populate the authoritative register from memory, historic documents, or assumptions.",2+,APPROVED_PENDING_OPERATIONAL_CONTENT_PHASE,Existing functional document(s) mapped in Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",APPROVED_PENDING_PHASE_2,PENDING_PHASE_2
48,Procurement blocks routine introduction of new chemicals until the exact SDS and compatibility/storage review are complete. Emergency purchase requires a controlled exception.,2+,APPROVED_PENDING_OPERATIONAL_CONTENT_PHASE,Existing functional document(s) mapped in Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",APPROVED_PENDING_PHASE_2,PENDING_PHASE_2
49,"Mechanical compatibility is determined through manufacturer specifications and qualified fleet authority. Safety reviews hazard, handling, and storage implications. COO resolves business exceptions, not technical fluid-selection questions.",2+,APPROVED_PENDING_OPERATIONAL_CONTENT_PHASE,Existing functional document(s) mapped in Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",APPROVED_PENDING_PHASE_2,PENDING_PHASE_2
50,The WMS flags incompatible storage and hazardous classes. Configured storage rules must warn or block improper placement rather than relying on personal recollection.,2+,APPROVED_PENDING_OPERATIONAL_CONTENT_PHASE,Existing functional document(s) mapped in Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",APPROVED_PENDING_PHASE_2,PENDING_PHASE_2
51,"Do not create internal numeric hazardous-material thresholds without authority. Configure thresholds from applicable fire code, jurisdiction, insurer requirements, and facility conditions.",2+,APPROVED_PENDING_OPERATIONAL_CONTENT_PHASE,Existing functional document(s) mapped in Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",APPROVED_PENDING_PHASE_2,PENDING_PHASE_2
52,"Safety coordinates with the authority having jurisdiction, fire authority, or qualified fire-code/hazardous-material consultant when quantities or conditions warrant review. Insurer input supplements but does not replace code authority.",2+,APPROVED_PENDING_OPERATIONAL_CONTENT_PHASE,Existing functional document(s) mapped in Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",APPROVED_PENDING_PHASE_2,PENDING_PHASE_2
53,"Service providers supply original work orders, waste records, invoices, and applicable SDS or supporting documentation. Preserve the originals. Transcribe only the structured data needed for search, dashboards, or reconciliation.",2+,APPROVED_PENDING_OPERATIONAL_CONTENT_PHASE,Existing functional document(s) mapped in Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",APPROVED_PENDING_PHASE_2,PENDING_PHASE_2
54,Maintain an approved rental-vendor list under COO and Fleet authority with a defined emergency fallback. The Chief Superintendent may request equipment operationally; financial authorization follows delegation limits.,2+,APPROVED_PENDING_OPERATIONAL_CONTENT_PHASE,Existing functional document(s) mapped in Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",APPROVED_PENDING_PHASE_2,PENDING_PHASE_2
55,Keep the federal fleet upgrade as `NOT_ESTABLISHED` until the actual business requirement is known. Do not build a compliance program around speculative future federal work.,2+,APPROVED_PENDING_OPERATIONAL_CONTENT_PHASE,Existing functional document(s) mapped in Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",APPROVED_PENDING_PHASE_2,PENDING_PHASE_2
56,Retain every source file as lineage evidence. Overlapping TBTs may become alternate approved scripts within one controlled topic family instead of being treated as separate safety subjects.,1,IMPLEMENTED_REGISTER_CONTROL_PHASE_1,TBT family register / SDS confirmation register,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,NOT_REQUIRED_FOR_PHASE_1_BASELINE
57,"TBT evidence requires the delivery record, attendance or acknowledgment, topic and document revision, delivery date, project, and supervisor. The dashboard may hold the authoritative record, and the daily report may cross-reference it.",2+,APPROVED_PENDING_OPERATIONAL_CONTENT_PHASE,Existing functional document(s) mapped in Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",APPROVED_PENDING_PHASE_2,PENDING_PHASE_2
58,Provide understandable safety communication when Spanish-speaking or other language-needs employees require it. Safety-critical translations require qualified safety-language validation.,2+,APPROVED_PENDING_OPERATIONAL_CONTENT_PHASE,Existing functional document(s) mapped in Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",APPROVED_PENDING_PHASE_2,PENDING_PHASE_2
59,"Use a hybrid TBT cadence consisting of routine scheduled talks plus task-triggered, incident-triggered, and project-specific talks. One fixed cadence does not control every risk environment.",2+,APPROVED_PENDING_OPERATIONAL_CONTENT_PHASE,Existing functional document(s) mapped in Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",APPROVED_PENDING_PHASE_2,PENDING_PHASE_2
60,Confirm whether the seven exact SDS products are stocked through physical inventory and purchasing evidence. Presence in the library does not prove warehouse use.,1,IMPLEMENTED_REGISTER_CONTROL_PHASE_1,TBT family register / SDS confirmation register,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,NOT_REQUIRED_FOR_PHASE_1_BASELINE
61,"Keep the current manufacturer English SDS as the authoritative external sheet. Provide Spanish or other language access when workforce needs require it, but do not substitute an unofficial translation for the manufacturer's controlled SDS.",2+,APPROVED_PENDING_OPERATIONAL_CONTENT_PHASE,Existing functional document(s) mapped in Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",APPROVED_PENDING_PHASE_2,PENDING_PHASE_2
62,"Assign SDS currentness to Safety and Document Control. Check on new purchase, manufacturer update notice, and periodic reconciliation rather than relying only on an annual calendar review.",1,IMPLEMENTED_REGISTER_CONTROL_PHASE_1,TBT family register / SDS confirmation register,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,NOT_REQUIRED_FOR_PHASE_1_BASELINE
63,Maintain an offline field fallback consisting of a current project-specific controlled PDF cache or binder for safety-critical materials and a defined outage procedure. QR access must not become a single point of failure.,1,IMPLEMENTED_REGISTER_CONTROL_PHASE_1,TBT family register / SDS confirmation register,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,NOT_REQUIRED_FOR_PHASE_1_BASELINE
64,Project binders and access sets contain the SDS files relevant to that project. The warehouse or master system retains the enterprise SDS set.,1,IMPLEMENTED_REGISTER_CONTROL_PHASE_1,TBT family register / SDS confirmation register,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,NOT_REQUIRED_FOR_PHASE_1_BASELINE
65,Safety and Document Control remove obsolete SDS files from active access only after replacement verification. Historical SDS files remain archived and retrievable for exposure-history and retention requirements.,1,IMPLEMENTED_REGISTER_CONTROL_PHASE_1,TBT family register / SDS confirmation register,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,NOT_REQUIRED_FOR_PHASE_1_BASELINE
66,"Do not establish one invented internal spill-reporting threshold. Evaluate product quantity, hazard, release conditions, permit, site and client rules, and applicable agency thresholds. Safety or emergency authority controls escalation.",2+,APPROVED_PENDING_OPERATIONAL_CONTENT_PHASE,Existing functional document(s) mapped in Phase 2,"DOCX/PDF, metadata, register, package, and visual QA",APPROVED_PENDING_PHASE_2,PENDING_PHASE_2
67,Define authoritative systems by record class rather than naming one universal system. Procore may govern project execution records; the server and document register may govern controlled enterprise documents; the Field Command Center may present current information. Publish and maintain a system-of-record matrix.,1,IMPLEMENTED_GOVERNANCE_RULE_PHASE_1 | OPERATIONAL_DETAIL_PENDING_PHASE_2,Governance Standard / schema / metadata,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,PENDING_PHASE_2
68,"Keep BuildPilot outside the controlled MH Ecosystem until ownership, legal entity, service agreement, data rights, implementation authority, and operating controls are established. Future intent does not create present governance.",1,IMPLEMENTED_GOVERNANCE_RULE_PHASE_1 | OPERATIONAL_DETAIL_PENDING_PHASE_2,Governance Standard / schema / metadata,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,PENDING_PHASE_2
69,"Classify every platform as MHC-owned, affiliate-owned, licensed, or third-party service. Document the contractual, access, retention, availability, export, and data-control relationship for each platform.",1,IMPLEMENTED_GOVERNANCE_RULE_PHASE_1 | OPERATIONAL_DETAIL_PENDING_PHASE_2,Governance Standard / schema / metadata,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,PENDING_PHASE_2
70,"Establish intellectual-property and data rights through written agreements. MHC retains ownership and control of its company data, project data, and commissioned business artifacts unless an approved agreement states otherwise. Platform and source-code ownership follow the governing agreement.",1,IMPLEMENTED_GOVERNANCE_RULE_PHASE_1 | OPERATIONAL_DETAIL_PENDING_PHASE_2,Governance Standard / schema / metadata,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,PENDING_PHASE_2
71,"Use a data-classification matrix to determine what may enter Cloudflare R2. Highly restricted HR information, credentials and secrets, regulated personal data, and protected contractual information require stronger controls or on-premises restriction.",1,IMPLEMENTED_GOVERNANCE_RULE_PHASE_1 | OPERATIONAL_DETAIL_PENDING_PHASE_2,Governance Standard / schema / metadata,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,PENDING_PHASE_2
72,Establish recovery-point and recovery-time objectives by system criticality. Define offsite and immutable backup requirements and conduct scheduled restoration tests. Do not apply one recovery target to every system.,1,IMPLEMENTED_GOVERNANCE_RULE_PHASE_1 | OPERATIONAL_DETAIL_PENDING_PHASE_2,Governance Standard / schema / metadata,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,PENDING_PHASE_2
73,"Require encryption in transit broadly. Apply encryption at rest, multifactor authentication, role-based access control, logging, and restricted sharing according to data classification and risk. Privileged and administrative systems receive the strongest controls.",1,IMPLEMENTED_GOVERNANCE_RULE_PHASE_1 | OPERATIONAL_DETAIL_PENDING_PHASE_2,Governance Standard / schema / metadata,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,PENDING_PHASE_2
74,"Define an incident commander, technical shutdown authority, executive-notification chain, and field-continuity plan. Field operations must retain controlled fallback capability when a SaaS, cloud, network, or internal system is unavailable.",1,IMPLEMENTED_GOVERNANCE_RULE_PHASE_1 | OPERATIONAL_DETAIL_PENDING_PHASE_2,Governance Standard / schema / metadata,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,PENDING_PHASE_2
75,"Use one MHC-controlled stable HTTPS resolver domain and path independent of storage provider and build batch. The preferred conceptual pattern is `https://mhc-gc.com/docs/[document-id]`, subject to technical and security approval.",1,IMPLEMENTED_GOVERNANCE_RULE_PHASE_1 | OPERATIONAL_DETAIL_PENDING_PHASE_2,Governance Standard / schema / metadata,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,PENDING_PHASE_2
