inventoryRecordId,documentId,documentIdStatus,title,filenameStem,version,lifecycleStatus,controlStatus,category,package,legacySourceArchive,legacySourceMember,legacyPublisher,adaptationMethod,sourceTextCopied,qrRequired,qrTargetStatus,schemaVersion
legacy-tbt-013,,MANAGEMENT_REVIEW,Scaffolding II,tbt-source-013-scaffolding-ii-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Ladders and Scaffolds,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/013-Scaffolding II.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-014,,MANAGEMENT_REVIEW,Scaffolds,tbt-source-014-scaffolds-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Ladders and Scaffolds,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/014-Scaffolds.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-015,,MANAGEMENT_REVIEW,Safe Scaffolding,tbt-source-015-safe-scaffolding-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Ladders and Scaffolds,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/015-Safe Scaffolding.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-016,,MANAGEMENT_REVIEW,"Scaffolds, Permanent Safety on Temporary Structures",tbt-source-016-scaffolds-permanent-safety-on-temporary-structures-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Ladders and Scaffolds,06-tbt-library,Tool Box Talks.zip,"Reagan/English Safety Meetings Outlines/016-Scaffolds, Permanent Safety on Temporary Structures.pdf","Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-017,,MANAGEMENT_REVIEW,Aerial Lifts & Elevated Platforms,tbt-source-017-aerial-lifts-and-elevated-platforms-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Ladders and Scaffolds,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/017-Areal Lifts & Elevated Platforms.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-018,,MANAGEMENT_REVIEW,Preventing Deadly Falls,tbt-source-018-preventing-deadly-falls-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Fall Prevention,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/018- Preventing Deadly Falls.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-019,,MANAGEMENT_REVIEW,Slips & Spills,tbt-source-019-slips-and-spills-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,General Construction Safety,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/019-Slips & Spills.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-020,,MANAGEMENT_REVIEW,Fall Protection Systems,tbt-source-020-fall-protection-systems-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Fall Prevention,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/020- Fall Protection Systems.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-021,,MANAGEMENT_REVIEW,Pneumatic Tools,tbt-source-021-pneumatic-tools-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Tools and Hot Work,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/021-Pneumatic Tools.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-022,,MANAGEMENT_REVIEW,Power Tools,tbt-source-022-power-tools-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Tools and Hot Work,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/022-Power Tools.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-023,,MANAGEMENT_REVIEW,Power Saws,tbt-source-023-power-saws-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Tools and Hot Work,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/023-Power Saws.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-024,,MANAGEMENT_REVIEW,The Power of Safety,tbt-source-024-the-power-of-safety-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,General Construction Safety,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/024-The Power of Safety.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-025,,MANAGEMENT_REVIEW,Powder-Actuated Tools,tbt-source-025-powder-actuated-tools-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Tools and Hot Work,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/025-Powder-Actuated Tools.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-026,,MANAGEMENT_REVIEW,Chainsaw Safety,tbt-source-026-chainsaw-safety-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Tools and Hot Work,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/026-Chainsaw Safety.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-027,,MANAGEMENT_REVIEW,Working Safely with Lasers,tbt-source-027-working-safely-with-lasers-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Tools and Hot Work,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/027-Working Safely with Lasers.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-028,,MANAGEMENT_REVIEW,Laser Safety,tbt-source-028-laser-safety-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Tools and Hot Work,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/028-Laser Safety.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-029,,MANAGEMENT_REVIEW,Tools,tbt-source-029-tools-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Tools and Hot Work,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/029-Tools.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-030,,MANAGEMENT_REVIEW,Torches,tbt-source-030-torches-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Tools and Hot Work,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/030-Torches.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-031,,MANAGEMENT_REVIEW,Hand Tools,tbt-source-031-hand-tools-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Tools and Hot Work,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/031-Hand Tools.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-032,,MANAGEMENT_REVIEW,Care of Hand Tools,tbt-source-032-care-of-hand-tools-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Tools and Hot Work,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/032-Care of Hand Tools.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-033,,MANAGEMENT_REVIEW,"Chisels,Screwdrivers & Sharp Points",tbt-source-033-chisels-screwdrivers-and-sharp-points-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Tools and Hot Work,06-tbt-library,Tool Box Talks.zip,"Reagan/English Safety Meetings Outlines/033-Chisels,Screwdriders & Sharp Pionts.pdf","Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-034,,MANAGEMENT_REVIEW,Hammers & Other Impact Tools,tbt-source-034-hammers-and-other-impact-tools-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Tools and Hot Work,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/034- Hammers & Other Impact Tools.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-035,,MANAGEMENT_REVIEW,Adjusting & Changing Tool Accessories,tbt-source-035-adjusting-and-changing-tool-accessories-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Tools and Hot Work,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/035-Adjusting & Changing Tool Accesories.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-036,,MANAGEMENT_REVIEW,Handling Sharp Tools & Other Objects,tbt-source-036-handling-sharp-tools-and-other-objects-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Tools and Hot Work,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/036-Handeling Sharp Tools & Other Objects.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-037,,MANAGEMENT_REVIEW,Hand Tools & Power Tools,tbt-source-037-hand-tools-and-power-tools-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Tools and Hot Work,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/037-Hand Tools & Power Tools.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-038,,MANAGEMENT_REVIEW,Fire Prevention,tbt-source-038-fire-prevention-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Fire and Emergency,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/038-Fire Prevention.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-039,,MANAGEMENT_REVIEW,Portable Heaters,tbt-source-039-portable-heaters-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Fire and Emergency,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/039-Portable Heaters.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-040,,MANAGEMENT_REVIEW,Preparing for an Emergency,tbt-source-040-preparing-for-an-emergency-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Fire and Emergency,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/040-Preparing for an Emergancy.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-041,,MANAGEMENT_REVIEW,"Portable Heaters, Staying Warm & Safe",tbt-source-041-portable-heaters-staying-warm-and-safe-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Fire and Emergency,06-tbt-library,Tool Box Talks.zip,"Reagan/English Safety Meetings Outlines/041-Portable Heaters, Staying Warm & Safe.pdf","Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-042,,MANAGEMENT_REVIEW,Safety on the Small Job,tbt-source-042-safety-on-the-small-job-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,General Work Controls,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/042-Safety on the Small Job.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-043,,MANAGEMENT_REVIEW,Safety for Home Builders,tbt-source-043-safety-for-home-builders-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,General Work Controls,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/043-Safety for Home Builders.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-044,,MANAGEMENT_REVIEW,"Paints, Finishes & Coatings",tbt-source-044-paints-finishes-and-coatings-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Electrical and Hazard Communication,06-tbt-library,Tool Box Talks.zip,"Reagan/English Safety Meetings Outlines/044-Paints, Finishes & Coatings.pdf","Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-045,,MANAGEMENT_REVIEW,Demolition,tbt-source-045-demolition-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,General Construction Safety,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/045-Demolition.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-046,,MANAGEMENT_REVIEW,Demolition Dangers,tbt-source-046-demolition-dangers-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,General Construction Safety,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/046-Demolition Dangers.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-047,,MANAGEMENT_REVIEW,Welding& Cutting Safety,tbt-source-047-welding-and-cutting-safety-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Tools and Hot Work,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/047-Welding& Cutting Safety.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-048,,MANAGEMENT_REVIEW,Concrete,tbt-source-048-concrete-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,General Construction Safety,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/048-Concrete.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-049,,MANAGEMENT_REVIEW,Concrete & Form Work,tbt-source-049-concrete-and-form-work-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,General Construction Safety,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/049-Concrete & Form Work.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-050,,MANAGEMENT_REVIEW,Roofing,tbt-source-050-roofing-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Fall Prevention,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/050-Roofing.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-051,,MANAGEMENT_REVIEW,Roofing Safety,tbt-source-051-roofing-safety-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Fall Prevention,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/051-Roofing Safety.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-052,,MANAGEMENT_REVIEW,Motor Vehicles & Your Safety,tbt-source-052-motor-vehicles-and-your-safety-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Equipment and Mobile Operations,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/052-Motor Vehicles & Your Safety.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-053,,MANAGEMENT_REVIEW,Defensive Driving I,tbt-source-053-defensive-driving-i-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Equipment and Mobile Operations,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/053-Defensive Driving I.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-054,,MANAGEMENT_REVIEW,Defensive Driving II,tbt-source-054-defensive-driving-ii-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Equipment and Mobile Operations,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/054-Defensive Driving II.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-055,,MANAGEMENT_REVIEW,Road Construction Ahead,tbt-source-055-road-construction-ahead-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Equipment and Mobile Operations,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/055-Road Construction Ahead.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-056,,MANAGEMENT_REVIEW,Work Zone Safety I,tbt-source-056-work-zone-safety-i-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,General Construction Safety,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/056-Work Zone Safety I.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-057,,MANAGEMENT_REVIEW,Work Zone Safety II,tbt-source-057-work-zone-safety-ii-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,General Construction Safety,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/057-Work Zone Safety II.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-058,,MANAGEMENT_REVIEW,Heavy Equipment,tbt-source-058-heavy-equipment-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Equipment and Mobile Operations,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/058-Heavy Equipment.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-059,,MANAGEMENT_REVIEW,Equipment Dangers,tbt-source-059-equipment-dangers-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Equipment and Mobile Operations,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/059-Equipment Dangers.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-060,,MANAGEMENT_REVIEW,Construction Forklifts,tbt-source-060-construction-forklifts-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Equipment and Mobile Operations,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/060-Construction Forklifts.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-061,,MANAGEMENT_REVIEW,"Excavation Safety, Can You Dig It",tbt-source-061-excavation-safety-can-you-dig-it-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Equipment and Mobile Operations,06-tbt-library,Tool Box Talks.zip,"Reagan/English Safety Meetings Outlines/061-Excavation Safety, Can You Dig It.pdf","Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
