Inventory Record ID,Document ID,Document ID Status,Baseline Package,Version,Lifecycle,QR Required,Class Basis,QR Target Ready,QR Verification Ready,Resolver Ready,QR Hard Blocker,Target Status,Verification Status,Development Note
mh-equipment-operators-manual-v1-0-draft,,NOT_ESTABLISHED,04-safety-and-field-ops,1.0,Rough Draft,CONDITIONAL,Operational control; class review required,NO,NO,NO,NO,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
mh-federal-motor-carrier-compliance-manual-v1-0-draft,,NOT_ESTABLISHED,04-safety-and-field-ops,1.0,Rough Draft,CONDITIONAL,Operational control; class review required,NO,NO,NO,NO,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
mh-warehouse-management-guide-v1-0-draft,,NOT_ESTABLISHED,04-safety-and-field-ops,1.0,Rough Draft,CONDITIONAL,Operational control; class review required,NO,NO,NO,NO,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
mh-warehouse-management-system-standard-v1-0-draft,,NOT_ESTABLISHED,04-safety-and-field-ops,1.0,Rough Draft,CONDITIONAL,Operational control; class review required,NO,NO,NO,NO,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
mish-manual-v3-0-draft,,NOT_ESTABLISHED,04-safety-and-field-ops,3.0,Rough Draft,CONDITIONAL,Operational control; class review required,NO,NO,NO,NO,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
mh-field-command-center-system-standard-v1-0-draft,,NOT_ESTABLISHED,05-it-and-infrastructure,1.0,Rough Draft,CONDITIONAL,Governance or management class review required,NO,NO,NO,NO,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
mh-it-data-governance-addendum-v1-0-draft,,NOT_ESTABLISHED,05-it-and-infrastructure,1.0,Rough Draft,CONDITIONAL,Governance or management class review required,NO,NO,NO,NO,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
mh-it-digital-infrastructure-guide-v1-0-draft,,NOT_ESTABLISHED,05-it-and-infrastructure,1.0,Rough Draft,CONDITIONAL,Governance or management class review required,NO,NO,NO,NO,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
mh-new-employee-orientation-guide-v1-0-draft,,NOT_ESTABLISHED,05-it-and-infrastructure,1.0,Rough Draft,CONDITIONAL,Governance or management class review required,NO,NO,NO,NO,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-01-01-hazard-communication-and-ghs-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-01-02-respiratory-protection-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-01-03-hearing-conservation-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-01-04-executing-site-emergency-drills-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-01-05-fall-protection-and-elevated-work-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-01-06-scaffolding-safety-and-inspections-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-01-07-subcontractor-site-coordination-and-stacking-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-01-08-enforcing-subcontractor-prequalification-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-01-09-change-order-scope-and-safety-review-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-01-10-closeout-punch-list-safety-focus-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-01-11-housekeeping-and-slip-trip-fall-prevention-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-01-12-heat-illness-prevention-and-hydration-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-01-13-cold-weather-operations-and-frostbite-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-01-14-severe-weather-and-lightning-stand-down-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-01-15-mental-health-and-fatigue-awareness-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-01-16-wind-safety-crane-limits-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-01-17-fall-protection-elevated-work-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-01-18-confined-space-entry-rebuilt-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-01-19-fall-protection-confined-spaces-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-02-01-demolition-and-structural-stability-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-03-01-concrete-pouring-and-silica-exposure-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-03-02-pre-cast-concrete-and-tilt-up-operations-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-03-03-concrete-pump-truck-operations-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-03-04-concrete-formwork-and-rebar-impalement-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-04-01-masonry-wall-bracing-and-scaffolding-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-04-02-masonry-saw-operations-and-kickback-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-05-01-steel-erection-and-decking-safety-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-05-02-hot-work-and-welding-fire-watch-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-05-03-structural-steel-bolting-and-torquing-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-05-04-metal-decking-and-controlled-access-zones-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-06-01-rough-carpentry-and-pneumatic-tools-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-06-02-wood-truss-installation-and-bracing-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-07-01-leading-edge-work-and-barricades-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-07-02-roofing-hot-asphalt-and-kettle-safety-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-07-03-waterproofing-solvents-and-confined-vapors-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-08-01-ladder-safety-and-three-point-contact-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-08-02-heavy-door-and-frame-installation-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-09-01-powder-actuated-tools-ramset-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-09-02-drywall-dust-and-stilts-safety-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-09-03-painting-scaffolds-and-chemical-storage-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-10-01-installation-of-heavy-specialties-lockers-partitions-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-10-02-signage-and-wayfinding-installation-heights-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-11-01-ariel-lifts-mewp-and-fall-restraint-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-11-02-equipment-mobilization-and-site-setup-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-11-03-heavy-equipment-blind-spots-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-11-04-warehouse-forklift-operations-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-11-05-manual-material-handling-and-ergonomics-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-11-06-commercial-kitchen-equipment-rigging-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-12-01-casework-and-cabinetry-installation-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-13-01-pre-engineered-metal-buildings-pemb-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-14-01-crane-operations-and-critical-lifts-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-14-02-elevator-shaft-fall-protection-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-21-01-sprinkler-pipe-fitting-and-overhead-work-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-21-02-fire-pump-installation-and-hydrostatic-testing-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-22-01-confined-space-entry-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-22-02-pipe-testing-and-pressurization-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-22-03-soldering-and-brazing-fire-watch-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-22-04-cast-iron-pipe-cutting-and-snapping-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-23-01-hvac-rigging-and-roof-installations-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-23-02-ductwork-hoisting-and-overhead-assembly-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-23-03-refrigerant-handling-and-brazing-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-25-01-control-panel-installation-and-low-voltage-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-26-01-electrical-safety-and-loto-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-26-02-arc-flash-and-energized-work-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-26-03-temporary-lighting-and-gfci-protection-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-26-04-underground-conduit-and-duct-banks-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-26-05-switchgear-installation-and-phasing-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-27-01-cable-tray-and-data-line-pulling-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-28-01-fire-alarm-and-security-system-rough-in-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-28-02-access-control-and-mag-lock-wiring-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-31-01-trenching-and-excavation-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-31-02-underground-utility-strikes-and-locates-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-31-03-rigging-and-hoisting-with-excavators-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-31-04-traffic-control-and-flagger-safety-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-31-05-dewatering-and-pump-operations-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-31-06-heavy-equipment-loading-and-tie-down-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-31-07-soil-compaction-and-roller-safety-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
tbt-31-08-contaminated-soil-and-groundwater-v1-0-draft,,NOT_ESTABLISHED,06-tbt-library,1.0,Rough Draft,REQUIRED,Operational field control,NO,NO,NO,YES,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
